id,site_id,district,street,nr_of_rooms,area_m2,floor,floor_max,series,building_type,extra,price,price_m2,site,description
24,centre/aeiok,centrs,Lastādijas 15,2,47.0,1,4,Renov.,Ķieģeļu,Parkošanas vieta,79600.0,1693.62,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aeiok.html,"Pārdodu divistabu dzīvokli 10 min pastaigas attālumā no Vecrīgas. Dzīvoklis remontēts, iebūvēta virtuves iekārta. Plānojums- koridors, viesistaba, guļamistaba, atsevišķa virtuve, dalīts sanmezgls. Slēdzama kāpņu telpa, labiekārtots pagalms, vieta automašīnai, blakus mājai tramvaja pietura. Iespēja papildus iegādāties zem dzīvokļa esošu pagrabu 49, 6 m2 platībā. 

Продаю двухкомнатную квартиру в 10 минутах ходьбы от Старого города. В квартире сделан ремонт, встроенная кухня . Планировка - коридор, гостиная, спальня, отдельная кухня, душевая, туалет. Закри
ытый подъезд , благоустроенный двор, место для автомобиля, рядом с домом трамвайная остановка. Возможность дополнительно приобрести подвал под квартиру площадью 49, 6 м2."
25,aplokciems/bnpfoc,Aplokciems,Čiekuru 3a,2,35.0,3,4,Jaun.,Ķieģeļu,,99700.0,2848.57,https://www.ss.com/msg/lv/real-estate/flats/riga/aplokciems/bnpfoc.html,"Tiek pārdots dzīvoklis kvalitatīvi būvētā 2023 gada projektā, ar augstas kvalitātes apdares materiāliem, santehniku un mēbelēm. Dzīvoklī ir augsti griesti 2.90 m, kas rada plašuma sajūtu. Sastāv no priekštelpas, viesistabas apvienotas ar virtuvi, ir virtuves iekārta ar visu nepieciešamo tehniku, guļamistabas un plašu vannas istabu ar apsildāmām grīdām. Dzīvoklis atrodas mājas 3.stāvā, ar plašu skatu pa logu, saules pusē, līdz ar to ir ļoti gaišs. Lieliska skaņas izolācija. Ir rekuperācijas sistēma, kas nodrošina lielisku gaisa apmaiņu. Zemi komunālie maksājumi. 

Māja atrodas slēgtajā, sakoptajā pagalmā ar zaļo zonu, auto stāvvietām un bērnu laukumu. Viesu automašīnas var novietot uz piebraucamā ceļa bez maksas. Laba infrastruktūra, 7 min. gājienā pārtikas veikali un sabiedrisko transportu pietura. 5 min gājienā – Mežaparka atpūtas un izklaides parks un Ķīšezers. 

Продается квартира в качественно построенном проекте 2023 года с высококачественными отделочными материалами, сантехникой и мебелью. В квартире высокие потолки – 2.90 м, что создает ощущение простора. Планировка включает прихожую, гостиную, совмещенную с кухней, есть кухонный гарнитур со всей необходимой техникой, спальню и просторную ванную комнату с подогреваемыми полами. Квартира находится на 3-м этаже дома, с широким видом из окна на солнечную сторону, благодаря чему она очень светлая. Обеспечена отличная звукоизоляция. В квартире установлена система рекуперации, которая обеспечивает прекрасный воздухообмен. Низкие коммунальные платежи. 

Дом расположен на закрытой, ухоженной территории с зеленой зоной, парковочными местами и детской площадкой. Гостевые автомобили можно бесплатно парковать на подъездной дороге. Хорошо развита инфраструктура: в 7 минутах ходьбы находятся продуктовые магазины и остановка общественного транспорта. В 5 минутах ходьбы – парк отдыха и развлечений в Межапарке и озеро Кишэзерс."
26,kengarags/dmhnm,Ķengarags,Latgales 273 k-1,2,44.0,1,5,Renov.,Paneļu,Parkošanas vieta,39000.0,886.36,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dmhnm.html,"Pārdod 2 istabu dzīvokli renovētā mājā blakus Akropolei. 

Ēka nesen ir pilnībā renovēta un nosiltināta pēc jaunākajiem būvniecības standatiem. Visā ēkā ir nomainītas komunikācijas, izbūvēti kvalitatīvi stikla pakešu logi, izbūvēta jauna apkures sistēma un pats galvenais – ir individuāli apkures skaitītāji uz radiatoriem, kas ļauj regulēt Jūsu izmaksas. Ir izremontētas kāpņutelpas, uzstādot arī drošas ārdurvis ar koda atsēgu, kā arī jaunas un elegantas pasta kastītes. 

Dzīvoklī ir nepieciešams remonts, taču tam jau ir izbūvētas dārgākās investīcijas, kā jauni logi un radiatori, kas parasti sastāda lielāko remonta izmaksu daļu. Namu apsaimnieko privāts apsaimniekotājs. Pie nama ir izbūvēts moderns atkritumu izmešanas punkts un namam tuvākajā laikā plāno izbūvēt video novērošanu pa ēkas perimetru. 

 # Pilnībā renovēta māja
 # Jauni radiatori ar apkures skaitītājiem
 # Moderni stikla pakešu logi
 # Metāla durvis un kodu atslēga kāpņutelpai
 # Video novērošana un moderns atkritumu punkts
 # Tikai 200 metri līdz Akropolei
 # Ap māju iepējams bez maksas novietot auto

Ēka atrodas lieliskā vietā, tikai tikai 200 metru attālumā no Akropoles, kur ir visi nepieciešamie veikali, atpūtas vietas un arī fitnesa centrs. Turpat netālu atrodas arī daudzu maršrutu sabiedriskais transports, skolas, ārstniecības iestādes, bērnudārzi un cita veida nepieciešamā infrastruktūra. 

Droši uzzvaniet, labprāt atbildēšu uz visiem Jūsu jautājumiem un parādīšu Jums dzīvokli. 
__

Продается 2-комнатная квартира в отремонтированном доме рядом с Акрополем. 

Здание недавно было полностью отремонтировано и утеплено по последним строительным нормам. Во всем здании заменены коммуникации, установлены качественные стеклопакеты, построена новая система отопления и самое главное на радиаторах установлены индивидуальные счетчики тепла, что позволяет регулировать Ваши расходы. Oтремонтированы лестничные клетки, установлена надежная входная металлическая дверь с кодовым замком, а также новые и элегантные почтовые ящики. 

Квартира нуждается в ремонте, но самые дорогие инвестиции, такие как новые окна и радиаторы, уже сделаны и обычно составляют большую часть расходов на ремонт. Домом управляет частный управляющий. Снаружи здания построен современный пункт утилизации отходов, а в ближайшем будущем планируется организовать видеонаблюдение по периметру здания. 

 # Полностью отремонтированный дом
 # Новые радиаторы со счетчиками отопления
 # Современные окна с двойным остеклением
 # Металлические двери и кодовый замок на подъезде
 # Видеонаблюдение и современный пункт приема отходов
 # Всего 200 метров до Акрополя
 # Бесплатная парковка около дома

Здание расположено в отличном месте, всего в 200 метрах от Акрополя, где есть все необходимые магазины, зоны отдыха и фитнес-центр. Рядом также есть общественный транспорт многих маршрутов, школы, медицинские учреждения, детские сады и другая необходимая инфраструктура. 

Звоните, с удовольствием отвечу на все Ваши вопросы и покажу Вам квартиру. 
__

For sale 2 room apartment in renovated house next to Acropolis. 

The building has recently been completely renovated and insulated according to the latest construction standards. Communications have been replaced throughout the building, high-quality double-glazed windows have been installed, a new heating system has been built and most importantly – there are individual heating meters on the radiators, which allows you to regulate Your costs. The staircases have been refurbished, and a secure front metal door with a code lock has been installed, as well as new and elegant mailboxes. 

The apartment needs repair, but the most expensive investments, such as new windows and radiators, are already in place and usually make up the largest part of the repair costs. The building is managed by a private manager. A modern waste disposal point has been built outside the building and video surveillance around the perimeter of the building is planned for the near future. 

 # Fully renovated house
 # New radiators with heating meters
 # Modern double glazed windows
 # Metal doors and code key for the staircase
 # Video surveillance and modern waste point
 # Only 200 meters to the Acropolis
 # Free parking is available around the house

The building is located in a great location, only 200 meters from the Acropolis, where there are all the necessary shops, recreation areas and a fitness center. Nearby there are also public transport of many routes, schools, medical institutions, kindergartens and other necessary infrastructure. 

Feel free to call, I will be happy to answer all Your questions and show You the apartment."
27,centre/cleli,centrs,Ģertrūdes 135,1,27.0,2,5,P. kara,Mūra,Parkošanas vieta,26000.0,962.96,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cleli.html,"Продается 1- комнатная очень теплая квартира в Центре , толстые стены .Печное отопление. Очень хорошая печь. Центральный газ, проточный электронагреватель воды. Душевая кабина в квартире. Туалет на лестничной клетке на 2 кв. Стояк в кв-ре , можно установить туалет .Aрендная плата за землю 34, 75 EUR в год. Земля в aренде у Рижского самоуправления. Низкие коммунальные платежи. Продает собственник. 

Pārdodošana 1 istabas silts dzīvoklis Centrā. Krāsns apkure. Ļoti labs krāsns. Gāzes plīts. Caurplūdes ūdens sildītājs. Dušas kabīne dzīvoklī. Tualete kāpņu telpā. Nomas maksa par Zemes gabala lietošanu -34, 75 EUR gadā. Zeme Rīgas pašvaldības īpašumā. Komunālie maksājumi ļoti zemi. Pardod ipašnieks."
28,chiekurkalns/eiemg,Čiekurkalns,Čiekurkalna 4. šķ l. 12 k-2,2,56.0,9,9,Specpr.,Ķieģeļu-paneļu,"Lodžija, Parkošanas vieta",79660.0,1422.5,https://www.ss.com/msg/lv/real-estate/flats/riga/chiekurkalns/eiemg.html,"Уютная квартира с продуманной планировкой и шикарным видом на город. 
Две изолированные комнаты, раздельный санузел, просторная застеклённая лоджия. 

Квартира расположена на последнем этаже и граничит всего с двумя другими квартирами, что обеспечивает практически полное уединение. 

В стоимость квартиры входит встроенная мебель, сантехника и кухня, выполненная на заказ. Отдельные элементы интерьера и технику можно приобрести дополнительно по договорённости. 

Пёс на фото в комплект не входит. 

Дом расположен в тихом, зелёном районе Чиекуркалнс. В пешей доступности продуктовые магазины, остановки общественного транспорта, школа, детские сады, а также Межапарк. 
Для жителей дома предусмотрена выделенная парковочная зона по пропускам. 

Управление домом осуществляется товариществом жильцов. Новый владелец квартиры сможет участвовать в принятии решений по вопросам модернизации и обслуживания здания. 

Дом расположен на трёх земельных участках: один из них в собственности, два других в аренде. Уже запущен процесс выкупа функционально необходимой части земель, на текущем этапе проведено межевание. 

Квартира без обременений и может быть освобождена в течение нескольких недель по договорённости. 
При возникновении вопросов пишите или звоните. Доступен ежедневно с 10:00 до 22:00.

Mājīgs dzīvoklis ar ērtu plānojumu un lielisku skatu uz pilsētu. 
Divas izolētas istabas, dalīts sanmezgls un plaša stiklota lodžija. 

Dzīvoklis atrodas pēdējā stāvā un robežojas tikai ar diviem citiem dzīvokļiem. 

Dzīvokļa cenā iekļautas iebūvētās mēbeles, santehnika un pēc pasūtījuma izgatavota virtuve. Atsevišķus interjera priekšmetus un sadzīves tehniku var iegādāties pēc vienošanās. 

Suns uz foto nav pārdošanā. 

Māja atrodas klusā, zaļā Čiekurkalna sirdī. Ērta gājiena attālumā atrodas pārtikas veikali, sabiedriskā transporta pieturas, skola, bērnudārzi un Mežaparks. 

Iedzīvotājiem pieejama speciāla autostāvvieta ar caurlaidēm. 

Māju apsaimnieko iedzīvotāju biedrība. Jaunajam īpašniekam būs iespēja piedalīties svarīgu lēmumu pieņemšanā par ēkas modernizāciju un uzturēšanu. 

Īpašums atrodas uz trim zemes gabaliem: viens īpašumā, divi nomā. Ir uzsākts funkcionāli nepieciešamās zemes daļas izpirkšanas process, šobrīd veikta zemes kadastrālā uzmērīšana. 

Dzīvoklis bez apgrūtinājumiem, iespējama ātra atbrīvošana dažu nedēļu laikā pēc vienošanās. 
Jautājumu gadījumā droši rakstiet vai zvaniet. Pieejams katru dienu no plkst. 10:00 līdz 22:00."
29,teika/dbdib,Teika,Struktoru 5,1,28.0,1,3,Renov.,Mūra,,47400.0,1692.86,https://www.ss.com/msg/lv/real-estate/flats/riga/teika/dbdib.html,"Pārdod siltu vienistabas dzīvokli renovētā ēkā. Pilnībā remontēts (2023g. ) tai skaitā mainīta elektroinstalācija, kanalizācijas trubas un ūdensvadi, siltināts. Dzīvoklī restaurēti čuguna radiatori. Virtuves iekārta un gaiteņa mēbeles, virtuvē ieplānota vieta veļasmašīnai. Logi iziet uz klusu un sakoptu pagalmu. Tuvumā pārtikas veikali, lieliska transporta satiksme. Zeme īpašumā. Īpašnieks. Starpniekus lūdzu netraucēt."
30,mezhciems/becihg,Mežciems,Vecā Biķernieku 19,3,85.0,2,4,Jaun.,Mūra,"Balkons, Parkošanas vieta",178000.0,2094.12,https://www.ss.com/msg/lv/real-estate/flats/riga/mezhciems/becihg.html,"Plašs un saulains 3 istabu dzīvoklis ar saimniecības telpu un divām autostāvvietām īpašumā. 
Dzīvoklis atrodas mierpilnā, mežu ieskautā apkaimē, vienā no kvalitatīvākajiem daudzdzīvokļu māju ciematiem Rīgā - ""Meža ciems"". Sakopta un zaļa vide ar ideālu infrastruktūru - lieliska izvēle ģimenei ar bērniem. 

Dzīvokļa apraksts:

 Plaša dzīvojamā istaba ar virtuvi (43, 1 m2);
 2 izolētas istabas (11, 8 un 11, 9 m2);
 2 sanmezgli: vannas istaba (5 m2) un tualete (1, 9 m2) ar apsildāmām grīdām;
 Liels balkons (7, 7 m2). 

Dzīvokļa priekšrocības:

Iebraukšana ciematā slēgta ar barjerām, kas atveramas ar individuālām čipkartēm. 
Koda atslēgu sistēmas kāpņu telpas durvīm un vārtiņiem iekšpagalmā. 
Mantu uzglabāšana saimniecības telpa pagrabā (10, 6 m2). 
Divas autostāvvietas (piemājas un daudzstāvu stāvvietas 1.stāvā)
Zemas apsaimniekošanas izmaksas un apkures rēķini. 
Ideāla infrastruktūra - plaša pārtikas lielveikalu pieejamība “Sky”, “Rimi”, “Maxima”, “Lidl”; netālu atrodas t/c “Sāga”, “IKEA”, 2 skolas un vairāki bērnu dārzi; kā arī stacionārs ""Gaiļezers"". Plaša sabiedriskā transporta pieejamība 14., 18. trolejbuss, 15., 16., 21.autobuss"
31,ilguciems/aigge,Iļģuciems,Palangas 7,2,49.0,1,5,LT proj.,Paneļu,"Lodžija, Parkošanas vieta",39000.0,795.92,https://www.ss.com/msg/lv/real-estate/flats/riga/ilguciems/aigge.html,"Pārdod divistabu dzīvokli - atbrīvots, bez apgrūtinājumiem un parādiem, pārdod īpašnieks. Divas izolētas istabas, lodžija, skats uz parku. Jauni PVC logi, metāla durvis. Zeme ir īpašumā. Netālu atrodas bērnudārzi un skola, veikali, poliklīnika, sabiedriskais transports."
32,zolitude/beconk,Zolitūde,Anniņmuižas 4,3,74.7,5,16,104.,Paneļu,Lodžija,92000.0,1231.59,https://www.ss.com/msg/lv/real-estate/flats/riga/zolitude/beconk.html,"Собственник продаёт 3-х комнатную квартиру 104-й серии. Квартира в хорошем состоянии, солнечная, теплая, все комнаты изолированные, земля в собственности. Просторный коридор и кухня, большая лоджия. Закрытый подъезд, два лифта. 
Отличная инфраструктура, всё рядом в пешей доступности, детские сады и площадки, школа, медицинский центр, магазины Rimi, Lidl, Maxima, спортклуб, хорошее транспортное сообщение. 
ПОСРЕДНИКОВ ПРОСЬБА НЕ БЕСПОКОИТЬ."
33,zolitude/begjee,Zolitūde,Anniņmuižas 7,2,76.0,11,13,Jaun.,Ķieģeļu,"Lodžija, Parkošanas vieta",112000.0,1473.68,https://www.ss.com/msg/lv/real-estate/flats/riga/zolitude/begjee.html,"Pārdodam gaišu un plašu 11.stāva 2-istabu dzīvokli ar panorāmas skatu. Dzīvoklis ir atbrīvots un gaida jaunos saimniekus. 

Šis plašais 76 m² 2-istabu dzīvoklis 11. stāvā piedāvā plašu panorāmas skatu uz zaļo zonu. Dzīvokli piepilda dabiskā gaisma, radot mājīgu un saulainu atmosfēru, kas ļaus izbaudīt komfortablu ikdienu. 

Spiediet ""apskatīties"" sludinājuma apakšā, lai virtuāli izstaigātu dzīvokli (3D tūre). 

Plānojums:
- 2 izolētas istabas;
- plaša iebūvētā virtuve;
- vannas istaba;
- atsevišķa tualete;
- 6, 6 m² liela lodžija - ideāla vieta relaksācijai un panorāmas skata baudīšanai;

Dzīvoklis tiek pārdots ar iebūvētajām virtuves mēbelēm un sadzīves tehniku. Uzstādīti pakešu logi. Trīsslāņu parketa grīdas un koka iekšdurvis sniedz eleganci un funkcionalitāti. 

KOMUNIKĀCIJAS 

- Ēkā ir autonoma gāzes apkure ar individuāliem skaitītājiem un temperatūras regulatoriem katram dzīvoklim. 
- Māju apsaimnieko SIA TEHHE, nodrošinot labu tehnisko stāvokli un tīrību. 

ĒKA UN TERITORIJA

- dzīvoklim pieejamas 2 caurlaides stāvvietā pie ēkas;
- slēgta un tīra kāpņu telpa;
- 2 lifti, tostarp kravas lifts;
- diennakts fiziskā apsardze un video novērošanas sistēma visapkārt ēkai;
- labiekārtoti bērnu laukumi;
- tuvumā ēkai arī apsargāta autostāvvieta. 

LOKĀCIJA 

Lieliska atrašanās vieta ar attīstītu apkārtēju infrastruktūru:

- 2 minūšu gājiena attālumā - pārtikas veikali un sabiedriskā transporta pietura;
- 3 minūšu gājiena attālumā – Pirmsskolas izglītības iestāde “Ligzdiņa” un Rīgas Ziemeļvalstu ģimnāzija;
- 5 minūšu gājiena attālumā – Rīgas Zolitūdes ģimnāzija;
- 6 minūšu brauciena attālumā - Starptautiskā lidosta ""Rīga"";
- 15 minūšu brauciena attālumā – Rīgas centrs. 

Zvaniet vai rakstiet (SMS vai e-pasts), lai vienotos par apskati un uzzinātu vairāk. 

--

Spacious, bright 2-room apartment with a panoramic view. The apartment is vacant and ready to welcome its new owners. 

This spacious 76 m², 2-room apartment on the 11th floor offers stunning panoramic views of the green surroundings. The apartment is filled with natural light, creating a cozy and sunny atmosphere, perfect for comfortable daily living. 

Click ""View"" at the bottom of the listing for a virtual apartment tour (3D walkthrough). 

Layout:
- 2 separate rooms;
- Spacious built-in kitchen;
- Separate toilet and bathroom;
- 6.6 m² spacious loggia, an ideal spot for relaxation and enjoying the panoramic view. 

The apartment is sold with built-in kitchen furniture and household appliances. It features double-glazed windows. The three-layer parquet floors and wooden interior doors provide both elegance and functionality. 

UTILITIES
- The building has autonomous gas heating with individual meters and temperature controls for each apartment. 
- The property is managed by SIA TEHHE, ensuring excellent technical condition and cleanliness. 

BUILDING AND GROUNDS

- The apartment comes with 2 parking spaces near the building;
- Secure and clean staircase;
- 2 elevators, including a freight elevator;
- 24/7 physical security and a video surveillance system around the building;
- Children's playgrounds;
- Nearby guarded parking lot. 

LOCATION
Excellent location with well-developed surrounding infrastructure:

- 2-minute walk to grocery stores and public transport stops;
- 3-minute walk to ""Ligzdiņa"" Preschool and Riga Nordic Gymnasium;
- 5-minute walk to Riga Zolitūde Gymnasium;
- 6-minute drive to Riga International Airport. 
- 15-minute drive to Riga city center. 

Call or write (SMS or email) to arrange a viewing and get more information."
34,chiekurkalns/bkboc,Čiekurkalns,Čiekurkalna 4. šķ l. 8,2,53.0,1,5,103.,Paneļu,"Balkons, Parkošanas vieta",55500.0,1047.17,https://www.ss.com/msg/lv/real-estate/flats/riga/chiekurkalns/bkboc.html,"Pārdodam saulainu, siltu 2 istabu dzīvokli. 
Dzīvoklis ar kosmētisko remontu. 
Logi iziet uz abām mājas pusēm. 
Abas istabas izolētas. 
Dalīts sanmezgls. 
Dzīvoklis ir plašs. Ir vietas iebūvētajiem skapjiem. 
Laba skaņas izolācija. 
Ziemā dzīvoklī ir patīkami silts. 
Ir balkons ar skatu uz zaļo zonu. 

Mājai sava biedrība. Vasarā komunālie maksājumi ap 80€/ mēnesī, ziemā vidēji ap 200€/mēnesī. 

Dzīvoklis nav stūra. 

Mājas durvīm ir domofons. 
Tīra, kosmētiski atjaunota kāpņu telpa, jaunas pastkastītes. 

Ērta infrastruktūra: tuvumā kursē sabiedriskais transports, kā arī atrodas nepieciešamie veikali, medicīnas iestādes, bērnudārzi, Mežaparks. 

Dzīvoklis bez apgrūtinājumiem. 
Par cenu nedaudz var runāt."
35,agenskalns/beikd,Āgenskalns,Kalnciema 1,2,54.0,1,3,P. kara,Ķieģeļu,Parkošanas vieta,68998.0,1277.74,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/beikd.html,"Pārdod iekārtotu 2.istabu dzīvokli pieprasītā lokācijā. 

-2.izolētas istabas;
-plaša virtuve ar ēdamstūrīti un atpūtas stūri ar dīvānu;
-Vannas istaba ar dušu, tualeti un veļas mazgājamo mašīnu;
-Vannas istabā siltā grīda;
-Dzīvoklī ir mantu glabātuve, kuru var ierīkot pēc vajadzības vai pārvērst par skapi;
-Augstie griesti; 
-Zeme īpašumā;
-Lieliska lokācija;
-Tuvumā labākās Āgenskalna skolas un bērnudārzi, mūzikas skola, universitāte, sporta zāle, restorāni, 
 kafejnīcas; 
-Tramvajs dažu minūšu attālumā, kas ļaus apbraukt stāvošo satiksmi pīķa stundās un ļaus vienmēr būt laikā;
-Parkings pie mājas;
-Pavisam nelielas pastaigas attālumā Kalnciema kvartāls, parki, Āgenskalna tirgus, lielveikali, netālu Tc Spice; 
-Lidostas tuvums noteikti atvieglos un samazinās tēriņus ceļošanas laikā;
-Blakus sabiedriskā transporta pieturas, centrs rokas spiediena attālumā;
-Dzīvoklis ir bez parādiem un apgrūtinājumiem. 
-Dzīvoklis var kalpot arī kā lielisks investīciju objekts izīrēšanai. 
Droši zvaniet, lai vienotos par apskates laikiem. 


Продается меблированная 2-я комнатная квартира. 

-2. изолированныe помещения;
-просторная кухня с обеденным уголком и гостиная с диваном;
-Ванная комната с душем, туалетом и стиральной машиной;
-Теплый пол в ванной комнате;
-В квартире есть кладовая, которую можно установить по мере необходимости или превратить в шкаф;
-Высокие потолки;
-Земля в собственности;
-Отличное расположение;
-Рядом лучшие школы и детские сады Агенскалнса, музыкальная школа, университет, спортзал, 
 рестораны, Кафе;
-Трамвай в нескольких минутах ходьбы, что позволит вам обойти стоячий трафик в часы пик и позволит 
 всегда быть вовремя;
-Парковка возле дома;
-В нескольких минутах ходьбы квартал Калнциема, парки, рынок Агенскалнс, супермаркеты, рядом с Tc 
 Spice;
-Близость аэропорта, безусловно, облегчит и сократит траты во время путешествия;
-Рядом остановки общественного транспорта, центр под рукой пресс;
-Квартира свободна от долгов и обременений. 
-Здание не является памятником культуры и истории1
-Квартира также может служить отличным инвестиционным объектом для сдачи в аренду. 


For sale furnished 2nd room apartment. 

-2.isolated room;
-spacious kitchen with dining corner and lounge corner with sofa;
-Bathroom with shower, toilet and washing machine;
-Warm floor in the bathroom;
-There is a storage room in the apartment, which can be installed as needed or turned into a closet;
-High ceilings;
-Land owned;
-Great location;
-Nearby the best Āgenskalns schools and kindergartens, music school, university, gym, restaurants, 
 Cafes;
-A tram a few minutes away, which will allow you to bypass the standing traffic during peak hours and will allow 
 you to always be on time;
-Parking near the house;
-A short walk away Kalnciema quarter, parks, Āgenskalns market, supermarkets, near Tc Spice;
-The proximity of the airport will certainly facilitate and reduce spending while traveling;
-Next to public transport stops, center at hand press;
-The apartment is free of debts and encumbrance
-The apartment can also serve as an excellent investment object for rent."
36,plyavnieki/fegci,Pļavnieki,Dravnieku 1k. 1,2,49.0,4,9,Jaun.,Paneļu,Terase,108900.0,2222.45,https://www.ss.com/msg/lv/real-estate/flats/riga/plyavnieki/fegci.html,"Pārdošanā gaišs un silts dzīvoklis labā stāvoklī ""Deglava Rezidence"":
+ virtuve + viesistaba studio tipa+ istaba , 
+ radiatori ar siltuma regulatoriem un individuālie skaitītāji , 
+ nav stūra dzīvoklis, 
+ sanmezglā ir apsildāmās grīdas, 
+ A klases energoefektivitātes māja. Vidējie komunālie maksājumi ziemā - 127 EUR (ieskaitot elektrību), 
+ rotaļu laukums, zaļš, kopts pagalms, teritorija ir iežogota, kā arī teritorijā ir videonovērošana, 
+ dzelzs durvis, 
+ ar mēbelēm(virtuves mēbeles, sekcija viesistabā, liels skapis guļamistabā un skapis priekštelpā )un tehniku(ledusskapis), 
+ liela lodžija, 
+ 1.stāvā ir koplietošanas ratiņu telpa, 
+ logi vērsti uz austrumiem , 
+ tīra, kopta kāpņu telpa, pieklājīgi, laipni kaimiņi, 
+ lieliska infrastruktūra, veikali (T/c Augusts un Lemon Gym, Maxima XXX, Rimi, Lidl, 10 minūšu brauciena attālumā ir t/c IKEA un t/c SĀGA), skolas(84., 88. un 92. Vidusskolas), bērnudārzi (266. un 267.), kafejnīcas, bankas, sabiedriskā transporta pieturvietas (16. un 22. trolejbusi, 6., 20., 34., 51. un 52. autobusi), 
+ visi dokumenti ir kārtībā, 
+ zeme īpašumā. 

Отличная светлая тёплая квартира в ""Deglava Rezidence"":
+ кухня + гостиная студийного типа + комната, 
+ батареи с регуляторами тепла и индивидуальные счётчики , 
+ большая лоджия, 
+ санузел с обогреваемыми полами, 
+ лифт, 
+ железная дверь, 
+ с мебелью (встроенная кухонная мебель, секция в гостиной, большой шкаф в спальне и шкаф в прихожей) и техникой(холодильник) , 
+ дом класса А по энергоэффективности. Счета зимой за коммунальные услуги в среднем составляли 127 EUR (включая электричество), 
+ на первом этаже есть колясочная общего пользования;
+ детская площадка, зелёный ухоженный двор, территория огорожена забором, также на территории ведётся видеонаблюдение, 
+ чистая, ухоженная лестничная клетка, приличные, вежливые соседи, 
+ хорошо развита инфраструктура, магазины (- Т/ц Augusts и Lemon Gym, Maxima XXX, Rimi, Lidl, в 10 минутах езды т/ц IKEA и т/ц SĀGA), школы (84-ая, 88-ая и 92-ая средние школы), дет. Сады (266-ой и 267-ой), кафе, банки, остановки общественного транспорта, 
+ все документы в порядке, 
+ земля в собственности."
37,mezhciems/gfdle,Mežciems,Hipokrāta 17,2,51.0,1,9,602.,Paneļu,,43000.0,843.14,https://www.ss.com/msg/lv/real-estate/flats/riga/mezhciems/gfdle.html,"Pārdodu atbrīvotu 2 istabu dzīvokli lieliskā vietā Mežciemā. 
Dzīvoklim abas istabas ir izolētas, vannas istaba un WC atsevišķās telpās, ir lodžija un plaša priekštelpa. 
Ap māju ir plaša zaļā zona, visa nepieciešamā infrastruktūra atrodas tuvumā. 
 Pagalmā ir pieejama autostāvvieta. Tuvumā mežs ar pastaigu taku. 
Dzīvoklis ir bez remonta (stāvoklis fotogrāfijās). Zemes noma – 2, 4€/mēnesī. 
 Starpniekiem lūgums nezvanīt. 
 Uz e-pastiem un īsziņām neatbildu. 

 Продаётся 2-к квартира в отличном месте, вокруг дома большая зелёная зона, рядом вся необходимая инфраструктура , земля в аренде всего 2, 4евро в месяц , место для авто .
 Две изолированные комнаты, не угловая, раздельный санузел, лоджия, просторная прихожая. 
Квартира без ремонта(состояние на фото)
Квартира без долгов и отягощений. Зем. книга. 
Посредников просьба не звонить, 
на емаил и смс не отвечаю все вопросы по тлф."
38,purvciems/fbjim,Purvciems,Brantkalna 6,3,80.0,6,9,119.,Paneļu,Lodžija,61900.0,773.75,https://www.ss.com/msg/lv/real-estate/flats/riga/purvciems/fbjim.html,"Gaišs, silts dzīvoklis bez pārbūvēm. Nav stūra, ar labu plānojumu, nepieciešams remonts, taču tam ir potenciāls kļūt par mājīgu un stilīgu mājokli. Grīda no priedes to var saglabāt, pārējo iespējams iekārtot pilnībā pēc savas gaumes. 

Plaša priekštelpa, viesu tualete, dalīts sanmezgls (vanna), divas izolētas istabas un caurstaigājama viesistaba veido ērtu dzīves telpu. Dzīvoklim ir trīs lodžijas, logi vērsti uz dienvidiem un ziemeļiem uz zaļu, klusu pagalmu. 

Divas ieejas durvis, no kurām vienas ir metāla. Abi stāvvadi sanmezglos nomainīti. Ir domofons. Dzīvoklis atrodas mājā ar liftu. Tīra, slēgta kāpņu telpu ar kodu atslēgu. Labi, mierīgi kaimiņi. 

Māju apsaimnieko kooperatīvs Pavadonis. Pie mājas ir vieta, lai novietotu mašīnu. Teorētiski pieejama arī papildus mantu glabātuve pagrabā. 

Ļoti attīstīta infrastruktūra apkaimē tuvumā atrodas veikali, tirgi, kafejnīcas, skolas, bērnudārzi, poliklīnikas un sabiedriskā transporta pieturas. Līdz pilsētas centram tikai 10 minūtes. 

Zvaniet, lai vienotos par apskati. 

-
Светлая, тёплая квартира без перепланировок. Не угловая, с хорошей планировкой, нуждается в ремонте, но имеет потенциал стать уютным и стильным жильём. Пол из сосны его можно оставить, остальное Вы сможете оформить полностью по своему вкусу. 

Просторная прихожая, гостевой туалет, раздельный санузел (ванная), две изолированные комнаты и проходная гостиная создают комфортное пространство для жизни. В квартире три лоджии, окна выходят на юг и север в зелёный, тихий двор. 

Установлены две входные двери, одна из которых металлическая. Стояки в обоих санузлах заменены. Имеется домофон. Квартира расположена в доме с лифтом, чистым закрытым подъездом на кодовом замке. Хорошие, спокойные соседи. 

Дом обслуживает кооператив Pavadonis. Возможна парковка у дома. Теоретически предусмотрено дополнительное место для хранения вещей в подвале. 

Очень развитая инфраструктура: поблизости находятся магазины, рынки, кафе, школы, детские сады, поликлиники, остановки общественного транспорта. До центра города всего 10 минут. 

Звоните, чтобы договориться о просмотре."
